name_ko,name_en,description,mythology,difficulty,image_url,abbreviation
안드로메다자리,Andromeda,"가을철 하늘에 길게 뻗은 별자리로, 우리 은하와 가장 가까운 거대 나선 은하인 안드로메다 은하(M31)를 품고 있습니다.","왕비 카시오페이아의 허영심과 자랑 때문에 바다 괴물의 제물로 바쳐진 비운의 공주입니다. 바위에 묶여 있던 중 메두사를 처치하고 돌아가던 영웅 페르세우스에게 구출되어 그의 아내가 되었습니다.",2,/img/constellation/78.png,And
페가수스자리,Pegasus,"가을철 밤하늘의 중심에 '가을의 대사각형'을 이루는 거대하고 뚜렷한 사각형 모양의 널리 알려진 별자리입니다.","영웅 페르세우스가 메두사의 목을 베었을 때 그 피(혹은 흘러나온 피에서)에서 태어난 날개 달린 천마입니다. 훗날 영웅 벨레로폰을 태우고 괴물 키마이라를 물리치는 데 큰 도움을 주었습니다.",1,/img/constellation/79.png,Peg
용골자리,Carina,"남반구에서 두 번째로 밝은 카노푸스를 비롯해 무수히 많은 은하수 성단을 품고 있는 웅장한 별자리입니다.","그리스 신화의 영웅 이아손과 아르고나우타이들이 황금 양털을 찾아 떠났던 거대한 배 아르고호의 밑바닥 뼈대(용골)입니다. 원래 거대한 아르고자리였으나 돛, 고물자리로 나뉘었습니다.",관측불가,/img/constellation/80.png,Car
사냥개자리,Canes Venatici,"목동자리 옆에 위치한 작고 어두운 별자리지만, 소용돌이 은하(M51) 등 유명한 은하들이 많이 관측됩니다.","17세기 헤벨리우스가 분리해 낸 별자리로, 목동(아르카스)이 큰곰(어머니 칼리스토)을 쫓을 때 데리고 다니는 두 마리의 사냥개입니다.",3,/img/constellation/81.png,CVn
뱀자리(꼬리),Serpens Cauda,"뱀주인자리를 사이에 두고 뱀자리(머리)와 분리된 동쪽 영역으로, 독수리 성운(M16) 등을 포함합니다.","의술의 신 아스클레피오스가 뱀에게서 생명을 되살리는 약초의 비밀을 배웠다는 이야기와 연결됩니다. 허물을 벗고 새 생명을 얻는 뱀은 치유와 부활의 상징이며, 지팡이를 감은 뱀은 지금도 의술의 상징으로 사용됩니다.",3,/img/constellation/82.png,SerT
극락조자리,Apus,"하늘의 남극 주변에 위치한 별자리로 눈에 띄는 뚜렷한 별은 찾아보기 어려운 작고 어두운 영역입니다.","16세기 네덜란드 항해사들이 뉴기니 섬 부근에서 발견한 깃털이 화려하고 다리가 없는 것처럼 보였던 아름다운 새 '극락조'를 본떴습니다.",관측불가,/img/constellation/83.png,Aps
망원경자리,Telescopium,"제단자리와 인디언자리 사이에 위치한 남반구의 희미한 별자리로 은하수가 옅어지는 곳에 있습니다.","18세기 천문학자 라카유가 남반구 별자리를 정리하며 천문학 발전에 기여한 굴절 망원경을 기리기 위해 만들었습니다.",4,/img/constellation/84.png,Tel
남쪽삼각형자리,Triangulum Australe,"남반구 하늘에서 3개의 별이 명확하게 정삼각형에 가까운 형태를 이루며 길잡이 역할을 하는 별자리입니다.","16세기 말 네덜란드 탐험가들이 처음 고안한 별자리로, 북반구의 삼각형자리처럼 측정 기구나 항해의 표식으로 사용되었습니다.",관측불가,/img/constellation/85.png,TrA
센타우루스자리,Centaurus,"남반구 은하수에서 웅장하게 빛나며 태양계에서 가장 가까운 항성계인 알파 센타우리와 오메가 센타우리 구상성단이 있습니다.","지혜와 의술에 뛰어났던 켄타우로스 현자 케이론으로 해석됩니다. 야생의 짐승(이리자리)을 창으로 찌르는 모습이기도 하며, 헤라클레스의 독화살에 잘못 맞아 고통받다 불멸을 포기하고 별자리가 되었습니다.",4,/img/constellation/86.png,Cen
바다뱀자리,Hydra,"전체 밤하늘 88개 별자리 중 면적이 가장 넓고 가로로 가장 길게 뻗어 있는 뱀 모양의 거대한 별자리입니다.","헤라클레스의 두 번째 과업에 등장하는 머리가 여러 개인 괴물 독사 히드라입니다. 머리를 자르면 두 개가 다시 자라나지만, 결국 불로 상처를 지져 퇴치당하고 하늘에 올랐습니다.",3,/img/constellation/87.png,Hya
뱀주인자리,Ophiuchus,"여름철 하늘에서 거대한 종 모양을 하고 거대한 뱀을 양손에 쥐고 있는 넓고 장엄한 별자리입니다.","죽은 사람도 살릴 수 있었던 뛰어난 의술의 신 아스클레피오스입니다. 제우스의 번개에 맞아 죽었지만 그의 뛰어난 의술 업적을 인정받아 뱀을 쥔 모습으로 밤하늘의 별자리가 되었습니다.",2,/img/constellation/88.png,Oph
에리다누스자리,Eridanus,"오리온자리에서 시작해 하늘의 남극 근처까지 굽이치며 길게 흐르는 강 모양의 웅장한 별자리입니다.","태양신 헬리오스의 아들 파에톤이 통제력을 잃고 추락한 저승의 강(또는 포 강)입니다. 제우스는 파에톤이 몬 태양 마차로 인해 세상이 불타는 것을 막기 위해 벼락으로 그를 떨어뜨렸습니다.",3,/img/constellation/89.png,Eri
